Ensayo,Muestra-año,Exportador,CodigoVUCE (grupos),Cant muestras,Promedio de RESULTADO,Año,Mes
ACIDEZ (% ác. oleico),C0138-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,enero
ACIDEZ (% ác. oleico),C0140-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,enero
ACIDEZ (% ác. oleico),C0141-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.18,2023,enero
ACIDEZ (% ác. oleico),C0144-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0145-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.11,2023,febrero
ACIDEZ (% ác. oleico),C0146-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,enero
ACIDEZ (% ác. oleico),C0147-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,enero
ACIDEZ (% ác. oleico),C0149-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,enero
ACIDEZ (% ác. oleico),C0152-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.29,2023,enero
ACIDEZ (% ác. oleico),C0153-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0154-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.31,2023,febrero
ACIDEZ (% ác. oleico),C0155-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.36,2023,febrero
ACIDEZ (% ác. oleico),C0156-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.16,2023,febrero
ACIDEZ (% ác. oleico),C0157-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,febrero
ACIDEZ (% ác. oleico),C0158-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.38,2023,febrero
ACIDEZ (% ác. oleico),C0159-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.13,2023,febrero
ACIDEZ (% ác. oleico),C0160-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.17,2023,febrero
ACIDEZ (% ác. oleico),C0162-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0163-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.33,2023,febrero
ACIDEZ (% ác. oleico),C0164-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.24,2023,febrero
ACIDEZ (% ác. oleico),C0165-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.14,2023,febrero
ACIDEZ (% ác. oleico),C0167-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.27,2023,febrero
ACIDEZ (% ác. oleico),C0168-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.33,2023,febrero
ACIDEZ (% ác. oleico),C0169-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0170-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.3,2023,febrero
ACIDEZ (% ác. oleico),C0171-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.12,2023,febrero
ACIDEZ (% ác. oleico),C0172-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.19,2023,febrero
ACIDEZ (% ác. oleico),C0173-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.28,2023,febrero
ACIDEZ (% ác. oleico),C0174-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0175-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.11,2023,febrero
ACIDEZ (% ác. oleico),C0176-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.2,2023,febrero
ACIDEZ (% ác. oleico),C0178-2023,PRO DE MAN S.A.,Maní crudo y blancheado,1,0.15,2023,febrero
